exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can00,can00,0x111,33,2000000,6677999655719,6677999890368,6678000047496,16,3,0,0
1,tx_can01,can01,0x211,33,2000000,6677999666108,6677999894831,6678000056607,16,2,0,0
1,tx_can00,can00,0x110,67,1000000,6678000655719,6678000734972,6678000843582,16,3,0,0
1,tx_can01,can01,0x210,67,1000000,6678000666108,6678000741527,6678000851045,16,2,0,0
1,tx_can00,can00,0x110,68,1000000,6678001655719,6678001733889,6678001841777,16,3,0,0
1,tx_can01,can01,0x210,68,1000000,6678001666108,6678001741408,6678001850573,16,2,0,0
1,tx_can00,can00,0x111,34,2000000,6678001655719,6678001889203,6678002030979,16,3,0,0
1,tx_can01,can01,0x211,34,2000000,6678001666108,6678001888869,6678002032331,16,2,0,0
1,tx_can00,can00,0x110,69,1000000,6678002655719,6678002734473,6678002842621,16,3,0,0
1,tx_can01,can01,0x210,69,1000000,6678002666108,6678002741714,6678002850602,16,2,0,0
1,tx_can00,can00,0x100,7,10000000,6678003655719,6678003734021,6678003842316,16,3,0,0
1,tx_can01,can01,0x200,7,10000000,6678003666108,6678003741317,6678003852427,16,2,0,0
1,tx_can00,can00,0x110,70,1000000,6678003655719,6678003890390,6678004059555,16,3,0,0
1,tx_can01,can01,0x210,70,1000000,6678003666108,6678003890630,6678004108517,16,2,0,0
1,tx_can00,can00,0x111,35,2000000,6678003655719,6678004108684,6678004246553,16,3,0,0
1,tx_can01,can01,0x211,35,2000000,6678003666108,6678004147758,6678004296794,16,2,0,0
1,tx_can00,can00,0x110,71,1000000,6678004655719,6678004735364,6678004843474,16,3,0,0
1,tx_can01,can01,0x210,71,1000000,6678004666108,6678004745956,6678004855493,16,2,0,0
1,tx_can00,can00,0x110,72,1000000,6678005655719,6678005734189,6678005842003,16,3,0,0
1,tx_can01,can01,0x210,72,1000000,6678005666108,6678005745133,6678005854262,16,2,0,0
1,tx_can00,can00,0x111,36,2000000,6678005655719,6678005889151,6678006029205,16,3,0,0
1,tx_can01,can01,0x211,36,2000000,6678005666108,6678005893317,6678006034501,16,2,0,0
1,tx_can01,can01,0x210,73,1000000,6678006666108,6678006745884,6678006857976,16,2,0,0
1,tx_can00,can00,0x110,73,1000000,6678006655719,6678006734940,6678006872124,16,3,0,0
1,tx_can00,can00,0x110,74,1000000,6678007655719,6678007734598,6678007842301,16,3,0,0
1,tx_can01,can01,0x210,74,1000000,6678007666108,6678007745153,6678007854615,16,2,0,0
1,tx_can00,can00,0x111,37,2000000,6678007655719,6678007888986,6678008051799,16,3,0,0
1,tx_can01,can01,0x211,37,2000000,6678007666108,6678007892745,6678008060466,16,2,0,0
1,tx_can01,can01,0x210,75,1000000,6678008666108,6678008746034,6678008804256,16,2,0,0
1,tx_can00,can00,0x110,75,1000000,6678008655719,6678008735164,6678008843903,16,3,0,0
1,tx_can01,can01,0x210,76,1000000,6678009666108,6678009745248,6678009770266,16,2,0,0
1,tx_can01,can01,0x211,38,2000000,6678009666108,6678009815414,6678009837636,16,2,0,0
1,tx_can00,can00,0x110,76,1000000,6678009655719,6678009734877,6678009845580,16,3,0,0
1,tx_can00,can00,0x111,38,2000000,6678009655719,6678009882895,6678010022042,16,3,0,0
1,tx_can01,can01,0x210,77,1000000,6678010666108,6678010743591,6678010772795,16,2,0,0
1,tx_can00,can00,0x110,77,1000000,6678010655719,6678010734665,6678010844868,16,3,0,0
1,tx_can01,can01,0x210,78,1000000,6678011666108,6678011734379,6678011749120,16,2,0,0
1,tx_can00,can00,0x110,78,1000000,6678011655719,6678011724861,6678011797064,16,3,0,0
1,tx_can01,can01,0x211,39,2000000,6678011666108,6678011792934,6678011804156,16,2,0,0
1,tx_can00,can00,0x111,39,2000000,6678011655719,6678011837860,6678011909248,16,3,0,0
1,tx_can00,can00,0x110,79,1000000,6678012655719,6678012725037,6678012797407,16,3,0,0
1,tx_can01,can01,0x210,79,1000000,6678012666108,6678012734852,6678012833074,16,2,0,0
1,tx_can00,can00,0x100,8,10000000,6678013655719,6678013724770,6678013796640,16,3,0,0
1,tx_can01,can01,0x200,8,10000000,6678013666108,6678013735362,6678013808825,16,2,0,0
1,tx_can00,can00,0x101,4,20000000,6678013655719,6678013843269,6678013915657,16,3,0,0
1,tx_can01,can01,0x201,4,20000000,6678013666108,6678013844009,6678013916250,16,2,0,0
1,tx_can01,can01,0x210,80,1000000,6678013666108,6678013965027,6678014054119,16,2,0,0
1,tx_can00,can00,0x110,80,1000000,6678013655719,6678013964101,6678014058860,16,3,0,0
1,tx_can00,can00,0x111,40,2000000,6678013655719,6678014097952,6678014170340,16,3,0,0
1,tx_can01,can01,0x211,40,2000000,6678013666108,6678014091544,6678014180488,16,2,0,0
1,tx_can00,can00,0x110,81,1000000,6678014655719,6678014724928,6678014796724,16,3,0,0
1,tx_can01,can01,0x210,81,1000000,6678014666108,6678014734909,6678014809057,16,2,0,0
1,tx_can00,can00,0x110,82,1000000,6678015655719,6678015724790,6678015796771,16,3,0,0
1,tx_can01,can01,0x210,82,1000000,6678015666108,6678015735160,6678015808011,16,2,0,0
1,tx_can00,can00,0x111,41,2000000,6678015655719,6678015842622,6678015914288,16,3,0,0
1,tx_can01,can01,0x211,41,2000000,6678015666108,6678015843307,6678015915585,16,2,0,0
1,tx_can00,can00,0x110,83,1000000,6678016655719,6678016724504,6678016797355,16,3,0,0
1,tx_can01,can01,0x210,83,1000000,6678016666108,6678016734818,6678016808762,16,2,0,0
1,tx_can00,can00,0x110,84,1000000,6678017655719,6678017724218,6678017795902,16,3,0,0
1,tx_can01,can01,0x210,84,1000000,6678017666108,6678017735736,6678017810532,16,2,0,0
1,tx_can00,can00,0x111,42,2000000,6678017655719,6678017842494,6678017914457,16,3,0,0
1,tx_can01,can01,0x211,42,2000000,6678017666108,6678017846124,6678017918031,16,2,0,0
1,tx_can00,can00,0x110,85,1000000,6678018655719,6678018724450,6678018798208,16,3,0,0
1,tx_can01,can01,0x210,85,1000000,6678018666108,6678018735357,6678018810079,16,2,0,0
